card_id,customer_id,tipo_tarjeta,estado,limite_credito,fecha_emision,fecha_vencimiento
1,3495,credito,activa,9901.4,2020-07-15 22:38:12,2027-05-07 18:08:35
2,3055,credito,activa,14852.34,2021-01-04 12:09:21,2028-05-10 08:33:05
3,786,debito,activa,2191.6,2018-11-29 22:43:53,2026-11-16 06:06:06
4,457,debito,activa,18947.56,2018-01-17 00:20:27,2025-05-11 03:40:04
5,345,debito,activa,11404.01,2020-12-22 13:08:23,2025-05-17 17:52:43
6,554,debito,activa,10553.02,2019-08-02 08:55:28,2027-07-31 02:37:42
7,788,debito,activa,6525.86,2021-06-03 04:22:11,2025-02-07 15:20:22
8,1820,credito,activa,1064.4,2021-01-06 11:50:47,2026-02-18 00:52:32
9,705,debito,activa,2163.62,2018-01-28 12:55:41,2026-08-28 06:28:56
10,4908,credito,activa,5997.16,2018-11-11 20:17:32,2028-07-23 20:21:58
11,953,debito,activa,11289.38,2021-08-31 11:03:38,2029-11-04 17:42:11
12,815,debito,activa,2588.03,2022-03-09 17:37:05,2026-08-25 16:39:13
13,1549,debito,activa,19468.99,2019-09-06 17:58:51,2028-07-21 09:41:47
14,144,debito,activa,8808.25,2018-09-21 06:57:14,2026-04-17 03:34:44
15,2778,credito,activa,7010.03,2022-07-02 20:17:56,2028-08-19 08:49:41
16,3767,debito,activa,10978.73,2022-05-17 22:22:26,2029-08-27 15:26:59
17,4959,credito,activa,2234.75,2019-04-23 13:29:53,2029-11-01 07:04:51
18,3826,debito,activa,17158.56,2021-06-30 01:25:56,2027-03-04 17:12:17
19,1217,credito,activa,9745.27,2019-01-20 18:22:36,2026-10-17 08:39:58
20,1808,credito,activa,4388.37,2022-02-23 08:05:05,2025-01-02 18:16:37
21,4471,debito,activa,4072.95,2018-01-22 11:16:50,2025-07-25 18:20:14
22,4773,debito,activa,7858.13,2019-04-29 12:38:36,2026-05-23 15:20:54
23,2740,debito,activa,11893.89,2023-08-03 02:08:19,2025-04-27 09:17:38
24,1290,credito,activa,8921.21,2020-02-17 03:23:57,2027-04-05 21:41:16
25,556,debito,activa,12339.15,2019-12-04 10:52:57,2029-02-08 14:04:44
26,863,credito,activa,14404.08,2022-01-02 09:50:15,2025-07-25 07:57:31
27,2486,debito,activa,15221.29,2021-05-13 08:05:27,2026-11-12 16:51:59
28,4977,debito,activa,8618.16,2021-03-08 22:32:12,2028-12-25 23:28:18
29,2356,debito,activa,14623.06,2020-07-18 20:18:12,2026-05-30 12:19:26
30,966,debito,activa,3688.58,2021-02-06 10:46:09,2030-09-21 17:34:15
31,2396,credito,activa,10748.83,2021-08-23 19:27:17,2029-03-14 04:42:09
32,476,debito,activa,2377.78,2019-07-21 00:28:39,2025-12-21 22:07:46
33,1339,credito,activa,5638.01,2022-07-25 14:55:29,2025-09-06 10:57:36
