device_id,customer_id,tipo_device,sistema,es_principal
1,156,movil,Linux,1
2,3466,movil,Android,1
3,962,movil,Android,1
4,945,movil,Android,1
5,1279,web,Linux,0
6,1386,movil,iOS,1
7,4055,web,Linux,0
8,3920,movil,Windows,0
9,1737,movil,Linux,1
10,2867,movil,Linux,1
11,2425,web,Android,1
12,4249,movil,iOS,1
13,3839,movil,iOS,1
14,2820,movil,Linux,0
15,3224,movil,Android,1
16,2651,web,iOS,1
17,240,web,Android,1
18,3255,web,Linux,1
19,4527,pos,iOS,1
20,500,pos,Windows,1
21,3870,movil,Linux,0
22,4393,movil,Linux,0
23,2231,movil,Windows,1
24,3629,movil,Linux,0
25,1430,web,Windows,0
26,527,web,Windows,1
27,1809,movil,Linux,0
28,1211,web,Windows,1
29,3948,web,Windows,1
30,1049,movil,Linux,1
31,4395,web,Linux,1
32,4669,pos,Windows,1
33,1155,movil,Android,0
34,676,movil,Linux,1
35,3039,web,Linux,1
36,3279,movil,Android,0
37,2286,pos,Linux,1
38,2240,web,Android,1
39,1052,movil,iOS,0
40,3179,movil,Linux,1
41,3295,movil,Linux,1
42,429,web,iOS,0
43,2132,web,Linux,0
44,498,movil,Windows,1
45,2285,pos,Windows,1
46,3867,web,iOS,0
47,851,movil,Windows,1
48,2660,pos,iOS,1
49,2892,web,Windows,1
50,1059,pos,Linux,1
51,2145,movil,Windows,1
52,3305,movil,Linux,0
53,2573,movil,Windows,0
54,1782,movil,iOS,0
55,489,pos,Windows,1
56,404,movil,Linux,1
57,4870,movil,iOS,1
58,403,web,Windows,1
59,3658,movil,Android,1
60,1802,movil,Android,0
61,184,movil,iOS,1
62,4991,movil,Android,0
63,3640,movil,Android,1
64,1517,pos,Windows,0
65,4157,web,Windows,1
66,1709,web,Linux,1
67,3694,movil,Windows,1
68,1948,movil,iOS,0
69,4242,pos,Linux,1
70,1550,web,Linux,1
71,4279,movil,Windows,1
72,4411,pos,Linux,0
73,3949,web,Linux,1
